id,prompt,image_path,category
20,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/20.png,diffusiondb
21,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/21.png,diffusiondb
22,"beautiful portrait of a woman, negative no not mona lisa pose, gta v, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment ",data/images/22.png,diffusiondb
23,boy running away from inflatable dinosaur costume ,data/images/23.png,diffusiondb
24,boy running away from inflatable dinosaur costume ,data/images/24.png,diffusiondb
25,boy running away from inflatable dinosaur costume ,data/images/25.png,diffusiondb
26,boy running away from inflatable dinosaur costume ,data/images/26.png,diffusiondb
27,boy running away from inflatable dinosaur costume ,data/images/27.png,diffusiondb
28,boy running away from inflatable dinosaur costume ,data/images/28.png,diffusiondb
29,doge in gta iv ,data/images/29.png,diffusiondb
30,doge in gta iv ,data/images/30.png,diffusiondb
31,doge in gta iv ,data/images/31.png,diffusiondb
32,doge in gta iv ,data/images/32.png,diffusiondb
33,doge in gta iv ,data/images/33.png,diffusiondb
34,doge in gta iv ,data/images/34.png,diffusiondb
35,doge in gta iv ,data/images/35.png,diffusiondb
36,doge in gta iv ,data/images/36.png,diffusiondb
37,doge in gta iv ,data/images/37.png,diffusiondb
38,windows xp background in hell ,data/images/38.png,diffusiondb
39,windows xp background in hell ,data/images/39.png,diffusiondb
40,windows xp background in hell ,data/images/40.png,diffusiondb
41,windows xp background in hell ,data/images/41.png,diffusiondb
42,windows xp background in hell ,data/images/42.png,diffusiondb
43,windows xp background in hell ,data/images/43.png,diffusiondb
44,windows xp background in hell ,data/images/44.png,diffusiondb
45,windows xp background in hell ,data/images/45.png,diffusiondb
46,windows xp background in hell ,data/images/46.png,diffusiondb
47,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/47.png,diffusiondb
48,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/48.png,diffusiondb
49,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/49.png,diffusiondb
50,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/50.png,diffusiondb
51,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/51.png,diffusiondb
52,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/52.png,diffusiondb
53,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/53.png,diffusiondb
54,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/54.png,diffusiondb
55,"photo still of a vietnam war helicopter flying in a red sky, 8 k, studio lighting bright ambient lighting key light, 8 5 mm f 1. 8 ",data/images/55.png,diffusiondb
56,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/56.png,diffusiondb
57,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/57.png,diffusiondb
58,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/58.png,diffusiondb
59,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/59.png,diffusiondb
60,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/60.png,diffusiondb
61,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/61.png,diffusiondb
62,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/62.png,diffusiondb
63,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/63.png,diffusiondb
64,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/64.png,diffusiondb
65,sphynx cat on money bill ,data/images/65.png,diffusiondb
66,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/66.png,diffusiondb
67,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/67.png,diffusiondb
68,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/68.png,diffusiondb
69,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/69.png,diffusiondb
70,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/70.png,diffusiondb
71,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/71.png,diffusiondb
72,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/72.png,diffusiondb
73,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/73.png,diffusiondb
74,"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k ",data/images/74.png,diffusiondb
75,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/75.png,diffusiondb
76,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/76.png,diffusiondb
77,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/77.png,diffusiondb
78,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/78.png,diffusiondb
79,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/79.png,diffusiondb
80,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/80.png,diffusiondb
81,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/81.png,diffusiondb
82,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/82.png,diffusiondb
83,"titan from the anime attack on titan attacks russian multi - storey panels in the city of saransk, russian melancholy, photography ",data/images/83.png,diffusiondb
84,"windows xp background, medieval painting ",data/images/84.png,diffusiondb
85,"windows xp background, medieval painting ",data/images/85.png,diffusiondb
86,"windows xp background, medieval painting ",data/images/86.png,diffusiondb
87,"windows xp background, medieval painting ",data/images/87.png,diffusiondb
88,"windows xp background, medieval painting ",data/images/88.png,diffusiondb
89,"windows xp background, medieval painting ",data/images/89.png,diffusiondb
90,"windows xp background, medieval painting ",data/images/90.png,diffusiondb
91,"windows xp background, medieval painting ",data/images/91.png,diffusiondb
92,"windows xp background, medieval painting ",data/images/92.png,diffusiondb
93,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/93.png,diffusiondb
94,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/94.png,diffusiondb
95,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/95.png,diffusiondb
96,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/96.png,diffusiondb
97,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/97.png,diffusiondb
98,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/98.png,diffusiondb
99,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/99.png,diffusiondb
100,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/100.png,diffusiondb
101,"floating castles, dramatic lighting, epic, octane render, volumetric light, unreal engine, artbreeder, 8 k, background, scene, digital, artwork, high quality, 8 k ",data/images/101.png,diffusiondb
102,sphynx cat at money bill ,data/images/102.png,diffusiondb
103,serena williams as super girl ,data/images/103.png,diffusiondb
104,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/104.png,diffusiondb
105,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/105.png,diffusiondb
106,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/106.png,diffusiondb
107,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/107.png,diffusiondb
108,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/108.png,diffusiondb
109,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/109.png,diffusiondb
110,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/110.png,diffusiondb
111,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/111.png,diffusiondb
112,"a closeup photorealistic photograph of happy blunt smoking snoop dogg at trader vic's bar holding up a trader vic's style tiki mug featuring snoop dogg's face. tiki culture. lit scene. 4 k hd image that's trending on artstation, featured on behance, well rendered, extra crisp, features epic composition and the style of unreal engine. ",data/images/112.png,diffusiondb
113,"windows xp background on tinted church glass, photorealistic ",data/images/113.png,diffusiondb
114,"windows xp background on tinted church glass, photorealistic ",data/images/114.png,diffusiondb
115,"windows xp background on tinted church glass, photorealistic ",data/images/115.png,diffusiondb
116,"windows xp background on tinted church glass, photorealistic ",data/images/116.png,diffusiondb
117,"windows xp background on tinted church glass, photorealistic ",data/images/117.png,diffusiondb
118,"windows xp background on tinted church glass, photorealistic ",data/images/118.png,diffusiondb
119,"windows xp background on tinted church glass, photorealistic ",data/images/119.png,diffusiondb
120,"windows xp background on tinted church glass, photorealistic ",data/images/120.png,diffusiondb
121,"windows xp background on tinted church glass, photorealistic ",data/images/121.png,diffusiondb
122,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/122.png,diffusiondb
123,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/123.png,diffusiondb
124,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/124.png,diffusiondb
125,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/125.png,diffusiondb
126,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/126.png,diffusiondb
127,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/127.png,diffusiondb
128,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/128.png,diffusiondb
129,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/129.png,diffusiondb
130,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/130.png,diffusiondb
131,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/131.png,diffusiondb
132,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/132.png,diffusiondb
133,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/133.png,diffusiondb
134,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/134.png,diffusiondb
135,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/135.png,diffusiondb
136,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/136.png,diffusiondb
137,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/137.png,diffusiondb
138,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/138.png,diffusiondb
139,"titan from the anime attack on titan attacks russian khrushchevki in the saransk, russian melancholy, photography ",data/images/139.png,diffusiondb
140,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/140.png,diffusiondb
141,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/141.png,diffusiondb
142,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/142.png,diffusiondb
143,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/143.png,diffusiondb
144,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/144.png,diffusiondb
145,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/145.png,diffusiondb
146,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/146.png,diffusiondb
147,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/147.png,diffusiondb
148,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/148.png,diffusiondb
149,movie still of emma watson in tron : legacy ,data/images/149.png,diffusiondb
150,movie still of emma watson in tron : legacy ,data/images/150.png,diffusiondb
151,movie still of emma watson in tron : legacy ,data/images/151.png,diffusiondb
152,movie still of emma watson in tron : legacy ,data/images/152.png,diffusiondb
153,movie still of emma watson in tron : legacy ,data/images/153.png,diffusiondb
154,movie still of emma watson in tron : legacy ,data/images/154.png,diffusiondb
155,movie still of emma watson in tron : legacy ,data/images/155.png,diffusiondb
156,movie still of emma watson in tron : legacy ,data/images/156.png,diffusiondb
157,movie still of emma watson in tron : legacy ,data/images/157.png,diffusiondb
158,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/158.png,diffusiondb
159,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/159.png,diffusiondb
160,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/160.png,diffusiondb
161,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/161.png,diffusiondb
162,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/162.png,diffusiondb
163,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/163.png,diffusiondb
164,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/164.png,diffusiondb
165,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/165.png,diffusiondb
166,"very very intricate photorealistic photo of a realistic version of bowser in an episode of game of thrones, photo is in focus with detailed atmospheric lighting, award - winning details ",data/images/166.png,diffusiondb
167,image by aivazovsky ,data/images/167.png,diffusiondb
168,image by aivazovsky ,data/images/168.png,diffusiondb
169,image by aivazovsky ,data/images/169.png,diffusiondb
170,image by aivazovsky ,data/images/170.png,diffusiondb
171,image by aivazovsky ,data/images/171.png,diffusiondb
172,image by aivazovsky ,data/images/172.png,diffusiondb
173,image by aivazovsky ,data/images/173.png,diffusiondb
174,image by aivazovsky ,data/images/174.png,diffusiondb
175,image by aivazovsky ,data/images/175.png,diffusiondb
176,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/176.png,diffusiondb
177,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/177.png,diffusiondb
178,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/178.png,diffusiondb
179,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/179.png,diffusiondb
180,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/180.png,diffusiondb
181,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/181.png,diffusiondb
182,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/182.png,diffusiondb
183,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/183.png,diffusiondb
184,"a beautiful tattoo design with a creative skull, hyper realistic, black and white, realism, highly detailed ",data/images/184.png,diffusiondb
185,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/185.png,diffusiondb
186,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/186.png,diffusiondb
187,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/187.png,diffusiondb
188,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/188.png,diffusiondb
189,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/189.png,diffusiondb
190,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/190.png,diffusiondb
191,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/191.png,diffusiondb
192,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/192.png,diffusiondb
193,"kodak portra 4 0 0, 8 k, highly detailed, britt marling style, award winning colour portrait of a half 8 year old evil boy, half wooden puppet, is totally sad and cries, pink. black, motion blur, 1 9 2 0 s hair, 1 9 2 0 cloth style ",data/images/193.png,diffusiondb
